"year" "miami" "group" "count" "pop" "grade" "n_unem" "pop_unem" "n_emp" "pop_emp" "urate" "n_earn" "pop_earn" "log_earn" "earnwk" "uhours"
"1" 1979 0 1 8283 4994680.17893473 12.9011624590581 288 168988.617675781 6065 3660157.30456543 4.41321958231541 5378 3254866.02646891 1.93184031888273 323.848992265672 39.4215321680922
"2" 1979 0 2 1876 1149538.53833008 11.8306272623085 139 81748.7223103841 1149 714229.25374349 10.2702241481178 1093 680246.081258138 1.7433857591094 247.200707689899 38.9066788655078
"3" 1979 0 3 627 384731.428995768 13.4884590781512 23 14481.0950927734 456 282188.052103678 4.88122719521763 409 254611.567036947 1.86567693523231 295.355287988969 38.9388753056235
"4" 1979 0 4 61 35891.5866699219 11.9147194591681 5 2935.91080729167 38 22487.8858235677 11.5478850382561 34 20463.0832926432 1.8415208305397 282.706802316143 37.7647058823529
"5" 1979 0 5 2399 1438609.67230225 9.33275011116481 109 63389.674214681 1613 970513.638468424 6.13110272856918 1514 912909.130065918 1.67321806288824 236.190280473325 39.3599735799207
"6" 1979 1 1 533 319267.600646973 12.8246926566891 20 12200.5159098307 381 229095.268147786 5.05624910003295 318 190891.78141276 1.83027599379233 289.72043533353 39.125786163522
"7" 1979 1 2 394 244059.980326335 11.3968090719541 23 13823.1116129557 241 152796.141459147 8.29622709145978 231 146088.994812012 1.60611544118931 207.806903308283 38.3030303030303
"8" 1979 1 4 445 252372.781728109 10.9543920197292 18 10324.3575439453 319 184424.614227295 5.30136690840797 263 154028.967468262 1.6001973770617 208.235692473442 38.2699619771863
"9" 1979 1 5 171 102868.355061849 11.5667051304726 8 4631.11995442708 111 66132.9835205078 6.54444799977923 100 59904.5701904297 1.51246743204108 204.546568537259 40.1
"10" 1980 0 1 8545 5097231.79538981 12.9796667141039 299 174556.328328451 6308 3764027.21984863 4.43195697623938 5504 3294338.02768962 1.90447443147631 312.384084302326 39.0221656976744
"11" 1980 0 2 1867 1148683.37349447 11.8798809011517 184 106439.413391113 1178 735300.339742025 12.6451688891873 1097 686670.815185547 1.69397004958296 239.550592525068 38.7474931631723
"12" 1980 0 3 735 429692.006701152 13.3046461366918 30 19270.7217610677 533 306593.322224935 5.91373062377372 462 270076.588968913 1.77872995164737 273.006493506493 38.7207792207792
"13" 1980 0 4 78 45887.1842447917 11.6221899759395 10 5364.93253580729 51 30641.1225179036 14.9000842436205 47 28420.6158854167 1.72282694331398 249.723404255319 38.0425531914894
"14" 1980 0 5 2593 1547752.10514323 9.42617516891754 169 98120.4580891927 1754 1052117.84822591 8.53044604326653 1629 981370.60172526 1.63759749598494 227.674033149171 38.9521178637201
"15" 1980 1 1 538 321468.372355143 12.9282858712024 11 5824.58911132812 381 228604.936442057 2.48458000227523 327 195792.598144531 1.84246541599494 286.908256880734 38.6574923547401
"16" 1980 1 2 410 263894.955881755 11.4662815395707 15 10695.9967854818 280 181032.270935059 5.57872707694416 268 174332.065124512 1.56892653794765 204.481343283582 38.5634328358209
"17" 1980 1 4 492 278178.608927409 10.7493993716093 27 15487.7748616536 346 198013.847544352 7.25417197636151 294 169231.991760254 1.54420815059029 202.397959183673 39.2414965986395
"18" 1980 1 5 203 120229.534830729 11.172915252435 11 6386.45161946615 130 76794.714864095 7.67776155282492 118 69785.4974161784 1.5524845578459 198.483050847458 38.6016949152542
"19" 1981 0 1 8318 5320906.83648682 13.133733519326 276 173876.337972005 6109 3890008.88155111 4.27857403887035 5278 3357767.69793701 1.90117123681719 309.110079019163 39.081470253884
"20" 1981 0 2 1942 1241382.62835693 12.094596697733 177 114070.555155436 1229 790000.828226725 12.6174279213102 1158 744075.313151042 1.71785729126765 244.927557513461 38.6208981001727
"21" 1981 0 3 724 435714.327718099 13.4167632199009 21 12068.6449788411 496 297398.697753906 3.8998121327663 422 255080.621988932 1.82161630848276 279.041450056023 39.0260663507109
"22" 1981 0 4 80 52139.9535725911 11.5746816242926 4 2344.43912760417 51 33581.4593098958 6.52576338955801 43 28225.2950846354 1.6791027524297 237.798791107469 37.1395348837209
"23" 1981 0 5 2651 1649377.41892497 9.34260647685068 163 100103.275187174 1746 1093047.60695394 8.38982535113571 1635 1026528.69761149 1.61660607031356 224.090192961421 38.9241590214067
